reporting_date,destination_state,seller_type,payment_type,PHin,conv_num,fm_created,fm_picked,fm_d0_picked,zero_attempt_num,zero_attempt_denom,DHin,D0_OFD,First_attempt_delivered,fac_deno,total_delivered_attempts,total_attempts,rfr_num,rfr_deno,Breach_Num,Breach_Den,breach_plus1_num
20260608,,FCL,pp,11,10,,,,,,,,,,,,,,,,
20260516,MIZORAM,FCL,pp,1,1,,,,,,1,0,,,,,,,,,
20260504,BIHAR,EML,cod,1,1,,,,,,,,,,,,,,,,
20260416,HIMACHAL PRADESH,UNC,pp,3,3,,,,,,,,,,,,,,,,
20260605,JHARKHAND,LSR,cod,1,1,,,,,,,,,,,,,,,,
20260419,NAGALAND,INW,pp,1,1,,,,,,1,0,,,,,,,3,3,0
20260522,BIHAR,ULT,pp,2,2,,,,,,,,,,,,,,,,
20260609,MEGHALAYA,NEX,cod,10,10,,,,,,,,,,,,,,,,
20260512,RAJASTHAN,SDD,pp,1,0,,,,,,,,,,,,,,,,
20260526,DELHI,LUA,cod,1,0,,,,,,,,,,,,,,,,
20260501,ANDHRA PRADESH,LUA,cod,1,1,,,,,,,,,,,,,,,,
20260508,WEST BENGAL,RLL,cod,1,1,,,,,,,,,,,,,,,,
20260519,GOA,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260612,TRIPURA,FCL,pp,1,1,,,,,,1,0,,,,,,,0,2,0
20260627,MIZORAM,GBL,pp,1,1,,,,,,,,,,,,,,,,
20260609,KARNATAKA,ESA,cod,1,1,,,,,,1,0,,,,,,,0,2,0
20260704,BIHAR,UNC,pp,8,8,,,,,,,,,,,,,,0,5,0
20260527,CHHATTISGARH,WZA,cod,1,1,,,,,,,,,,,,,,,,
20260422,CHANDIGARH,EMB,pp,1,1,,,,,,,,,,,,,,0,1,0
20260414,CHHATTISGARH,EMB,pp,1,1,,,,,,,,,,,,,,,,
20260601,WEST BENGAL,ZAA,cod,5,4,,,,,,,,,,,,,,,,
20260601,UTTAR PRADESH,BHH,pp,2,2,,,,,,,,,,,,,,,,
20260516,TELANGANA,MSR,cod,1,1,,,,,,,,,,,,,,,,
20260609,MANIPUR,SDD,pp,2,2,,,,,,,,,,,,,,,,
20260615,BIHAR,SWL,cod,1,1,,,,,,,,,,,,,,,,
20260427,KARNATAKA,ZEL,pp,2,2,,,,,,6,0,,,,,,,,,
20260531,HIMACHAL PRADESH,IOH,pp,1,1,,,,,,,,,,,,,,,,
20260504,GOA,LUA,cod,1,1,,,,,,,,,,,,,,,,
20260606,TAMIL NADU,TEL,pp,1,1,,,,1,1,1,0,,,,,,,,,
20260619,MIZORAM,DBL,pp,1,1,,,,,,,,,,,,,,,,
20260519,HIMACHAL PRADESH,LSR,cod,1,1,,,,,,,,,,,,,,,,
20260606,ANDHRA PRADESH,WZI,pp,1,1,,,,,,,,,,,,,,,,
20260426,KERALA,MOH,pp,2,2,,,,,,2,0,,,,,,,0,1,0
20260428,WEST BENGAL,RLL,cod,1,1,,,,,,,,,,,,,,0,1,0
20260519,ODISHA,BGH,pp,2,2,,,,,,,,,,,,,,,,
20260617,MAHARASHTRA,BGH,cod,1,1,,,,,,,,,,,,,,,,
20260529,TELANGANA,ZAA,pp,2,2,,,,,,,,,,,,,,,,
20260522,CHHATTISGARH,EML,pp,1,1,,,,,,,,,,,,,,,,
20260628,KERALA,BSS,pp,1,1,,,,,,,,,,,,,,0,2,0
20260414,KERALA,ESA,cod,1,1,,,,,,,,,,,,,,,,
20260529,MADHYA PRADESH,ZAA,pp,1,1,,,,,,,,,,,,,,,,
20260623,,EMB,cod,1,1,,,,,,,,,,,,,,,,
20260612,TAMIL NADU,ZFB,pp,1,1,,,,,,,,,,,,,,,,
20260525,MADHYA PRADESH,SWT,pp,2,2,,,,,,,,,,,,,,,,
20260520,UTTARAKHAND,NEX,cod,1,1,,,,,,,,,,,,,,,,
20260523,HIMACHAL PRADESH,DBL,pp,1,1,,,,,,,,,,,,,,,,
20260505,BIHAR,LSR,cod,1,1,,,,,,,,,,,,,,,,
20260707,GOA,ESA,cod,1,0,,,,,,,,,,,,,,,,
20260509,WEST BENGAL,PRH,cod,1,1,,,,,,1,0,,,,,,,,,
20260507,MEGHALAYA,REH,pp,1,1,,,,,,,,,,,,,,,,
20260521,JAMMU AND KASHMIR,FCL,cod,3,3,,,,,,,,,,,,,,0,2,0
20260528,JHARKHAND,BSS,pp,1,1,,,,,,,,,,,,,,,,
20260608,KERALA,PRE,pp,1,1,,,,,,,,,,,,,,,,
20260516,TELANGANA,RHH,pp,1,0,,,,,,,,,,,,,,,,
20260530,,COM,pp,2,2,,,,,,,,,,,,,,,,
20260616,MEGHALAYA,IGS,pp,2,2,,,,,,,,,,,,,,,,
20260627,,SDD,pp,1,1,,,,,,,,,,,,,,,,
20260425,,EMH,pp,1,1,,,,,,,,,,,,,,,,
20260708,DELHI,GRG,pp,1,0,,,,1,1,,,,,,,,,,,
20260621,,AWP,cod,1,1,,,,,,,,,,,,,,,,
20260708,JHARKHAND,SDD,cod,2,0,,,,,,,,,,,,,,,,
20260620,MAHARASHTRA,TUN,pp,1,1,,,,,,,,,,,,,,,,
20260613,MADHYA PRADESH,SOL,cod,1,1,,,,,,,,,,,,,,,,
20260622,GOA,LUA,pp,2,2,,,,,,2,0,,,,,,,1,1,1
20260703,PUNJAB,BGH,pp,1,1,,,,,,,,,,,,,,,,
20260624,KERALA,LSR,pp,1,1,,,,,,,,,,,,,,,,
20260529,ARUNACHAL PRADESH,BSS,cod,2,2,,,,,,,,,,,,,,0,1,0
20260508,MANIPUR,ESA,pp,1,1,,,,,,,,,,,,,,,,
20260608,NAGALAND,FLO,cod,1,1,,,,,,1,0,,,,,,,,,
20260626,MADHYA PRADESH,LSR,pp,1,1,,,,,,,,,,,,,,,,
20260513,MIZORAM,MSR,cod,1,1,,,,,,,,,,,,,,,,
20260426,MADHYA PRADESH,SWT,cod,1,1,,,,,,,,,,,,,,,,
20260429,KERALA,RSL,pp,1,1,,,,,,1,0,,,,,,,,,
20260529,CHHATTISGARH,WZO,pp,1,1,,,,,,,,,,,,,,,,
20260625,HARYANA,WZA,cod,1,1,,,,,,,,,,,,,,,,
20260605,GUJARAT,NAH,pp,1,1,,,,,,,,,,,,,,,,
20260707,ODISHA,RSL,cod,1,0,,,,,,,,,,,,,,,,
20260622,MADHYA PRADESH,SWE,pp,1,1,,,,,,1,0,,,,,,,,,
20260530,ASSAM,LOS,pp,1,1,,,,,,,,,,,,,,,,
20260516,MIZORAM,FLO,pp,1,1,,,,,,,,,,,,,,0,1,0
20260421,UTTARAKHAND,ZAA,pp,1,1,,,,,,,,,,,,,,,,
20260503,ANDHRA PRADESH,SWL,pp,1,1,,,,,,,,,,,,,,,,
20260414,MADHYA PRADESH,EMH,cod,2,0,,,,,,,,,,,,,,,,
20260710,BIHAR,TEL,pp,1,0,,,,,,,,,,,,,,,,
20260415,JHARKHAND,SLB,cod,1,1,,,,,,,,,,,,,,,,
20260509,HARYANA,SWL,cod,1,1,,,,,,,,,,,,,,,,
20260422,DELHI,TEL,pp,1,1,,,,,,,,,,,,,,0,1,0
20260430,PUDUCHERRY,MSR,pp,1,1,,,,,,,,,,,,,,1,1,0
20260611,PUNJAB,ULT,pp,2,2,,,,,,,,,,,,,,0,2,0
20260418,KERALA,PRE,pp,17,17,,,,,,,,,,,,,,,,
20260414,HARYANA,IBH,pp,1,1,,,,,,1,0,,,,,,,,,
20260612,NAGALAND,LSR,pp,2,2,,,,,,,,,,,,,,,,
20260710,CHHATTISGARH,BSS,cod,2,0,,,,,,1,0,,,,,,,0,2,0
20260707,MADHYA PRADESH,SOL,cod,1,0,,,,,,2,0,,,,,,,0,1,0
20260615,TRIPURA,INW,pp,1,0,,,,,,,,,,,,,,0,2,0
20260416,JHARKHAND,UNC,pp,10,10,,,,,,,,,,,,,,,,
20260625,GUJARAT,ZEB,pp,1,1,,,,,,1,0,,,,,,,,,
20260502,ASSAM,PRH,pp,4,4,,,,,,,,,,,,,,,,
20260426,UTTAR PRADESH,SWT,cod,3,2,,,,,,,,,,,,,,,,
20260622,KARNATAKA,RSL,cod,1,0,,,,,,,,,,,,,,,,
20260527,MADHYA PRADESH,BHH,cod,1,1,,,,,,,,,,,,,,,,
20260630,,ESC,cod,1,1,,,,,,,,,,,,,,,,
20260421,UTTAR PRADESH,FRI,pp,1,1,,,,,,,,,,,,,,,,
20260602,GUJARAT,ESL,pp,2,2,,,,,,,,,,,,,,,,
20260706,,FCL,pp,12,11,,,,,,,,,,,,,,,,
20260523,HIMACHAL PRADESH,UNC,pp,3,3,,,,,,,,,,,,,,,,
20260623,"",LSR,pp,1,0,,,,,,,,,,,,,,,,
20260509,RAJASTHAN,ZBL,pp,1,1,,,,,,,,,,,,,,,,
20260625,TRIPURA,INW,pp,1,1,,,,,,1,0,,,,,,,0,1,0
20260618,WEST BENGAL,XIH,cod,1,1,,,,,,,,,,,,,,,,
20260602,,RHY,pp,1,1,,,,,,,,,,,,,,,,
20260605,,CUH,pp,1,1,,,,,,,,,,,,,,,,
20260606,TRIPURA,SDD,pp,1,1,,,,,,,,,,,,,,,,
20260515,BIHAR,NEX,cod,1,1,,,,,,,,,,,,,,,,
20260625,KARNATAKA,PBR,cod,1,1,,,,,,,,,,,,,,,,
20260710,HARYANA,PBR,cod,1,0,,,,,,,,,,,,,,,,
20260616,KARNATAKA,SWY,cod,1,1,,,,,,,,,,,,,,,,
20260507,ODISHA,EML,pp,1,1,,,,,,2,0,,,,,,,,,
20260601,JHARKHAND,BGH,pp,1,1,,,,,,1,0,,,,,,,,,
20260706,RAJASTHAN,WZO,pp,1,1,,,,,,,,,,,,,,0,1,0
20260622,JHARKHAND,RSL,cod,1,0,,,,,,,,,,,,,,,,
20260506,MEGHALAYA,LOI,pp,1,1,,,,,,,,,,,,,,,,
20260704,KERALA,ZBL,pp,1,1,,,,,,,,,,,,,,,,
20260612,TELANGANA,ESL,pp,1,1,,,,,,,,,,,,,,,,
20260507,,FLO,pp,1,1,,,,,,,,,,,,,,,,
20260603,CHANDIGARH,IGS,pp,1,1,,,,,,,,,,,,,,,,
20260513,KERALA,SWT,cod,1,1,,,,,,,,,,,,,,,,
20260603,ASSAM,TEL,cod,1,1,,,,,,,,,,,,,,,,
20260606,TAMIL NADU,KIC,cod,1,1,,,,,,,,,,,,,,,,
20260525,CHHATTISGARH,FCL,cod,1,1,,,,,,1,0,,,,,,,,,
20260603,MAHARASHTRA,SDH,pp,1,0,,,,,,,,,,,,,,,,
20260429,HIMACHAL PRADESH,BGH,pp,1,1,,,,,,,,,,,,,,,,
20260608,ODISHA,EMH,cod,1,1,,,,,,,,,,,,,,,,
20260430,ANDHRA PRADESH,LSR,cod,1,0,,,,,,1,0,,,,,,,,,
20260615,TELANGANA,RLL,pp,1,1,,,,,,,,,,,,,,,,
20260501,TELANGANA,BGH,pp,1,1,,,,,,,,,,,,,,,,
20260418,TAMIL NADU,ZCQ,pp,1,1,,,,,,,,,,,,,,,,
20260604,TELANGANA,UNC,pp,9,9,,,,,,,,,,,,,,0,4,0
20260604,JHARKHAND,ARL,pp,10,9,,,,,,,,,,,,,,,,
20260704,HARYANA,UNC,pp,3,3,,,,,,,,,,,,,,0,1,0
20260417,RAJASTHAN,SWT,pp,2,2,,,,,,,,,,,,,,0,1,0
20260618,MIZORAM,SDD,pp,1,1,,,,,,,,,,,,,,,,
20260705,ODISHA,KIC,pp,1,0,,,,,,,,,,,,,,,,
20260622,ODISHA,JEE,pp,1,1,,,,,,,,,,,,,,,,
20260627,DELHI,INW,cod,1,1,,,,,,2,0,,,,,,,0,1,0
20260503,ANDHRA PRADESH,NAH,pp,1,1,,,,,,,,,,,,,,,,
20260701,PUDUCHERRY,ESA,pp,1,1,,,,,,,,,,,,,,,,
20260421,DELHI,SWT,cod,4,4,,,,,,,,,,,,,,0,1,0
20260425,UTTAR PRADESH,SWT,cod,2,2,,,,,,,,,,,,,,0,1,0
