reporting_date,seller_type,source_state,payment_type,total_shipments,total_picked,d0_shipments,d1_shipments,d2_shipments,d2_plus_shipments
20260519,ABL,JHARKHAND,pp,1,1,1,0,0,0
20260416,ABL,JHARKHAND,pp,1,1,1,0,0,0
20260425,ABL,JHARKHAND,pp,1,1,0,1,0,0
20260402,ABL,JHARKHAND,pp,1,1,1,0,0,0
20260407,ABL,JHARKHAND,pp,1,1,1,0,0,0
20260408,ABL,JHARKHAND,pp,1,1,1,0,0,0
20260401,ABL,JHARKHAND,pp,2,2,2,0,0,0
20260421,ABL,JHARKHAND,pp,4,4,4,0,0,0
20260414,AFL,TELANGANA,pp,1,0,0,0,0,0
20260421,AFL,GUJARAT,pp,1,0,0,0,0,0
20260325,AFL,TELANGANA,pp,1,0,0,0,0,0
20260328,AFL,TELANGANA,pp,1,1,1,0,0,0
20260421,AFL,TELANGANA,pp,1,1,0,0,1,0
20260423,AFL,TELANGANA,pp,1,1,0,0,1,0
20260424,AFL,TELANGANA,pp,1,1,0,1,0,0
20260404,AFL,TELANGANA,pp,1,1,0,0,1,0
20260328,AFL,UTTAR PRADESH,cod,1,1,0,1,0,0
20260326,AFL,UTTAR PRADESH,pp,3,3,3,0,0,0
20260406,AFL,TELANGANA,pp,3,3,3,0,0,0
20260327,AFL,TELANGANA,pp,4,3,0,3,0,0
20260326,AFL,UTTAR PRADESH,cod,13,13,13,0,0,0
20260413,AMA,DELHI,cod,1,0,0,0,0,0
20260624,AMA,DELHI,pp,7,0,0,0,0,0
20260410,AMA,DELHI,pp,1,0,0,0,0,0
20260421,AMA,DELHI,pp,3,1,1,0,0,0
20260529,AMA,DELHI,pp,2,2,2,0,0,0
20260609,AMA,DELHI,pp,2,2,2,0,0,0
20260415,AMA,DELHI,pp,2,2,2,0,0,0
20260507,AMA,DELHI,pp,4,3,3,0,0,0
20260602,AMA,DELHI,pp,4,4,4,0,0,0
20260514,AMA,DELHI,pp,4,4,0,4,0,0
20260611,AMA,DELHI,pp,4,4,4,0,0,0
20260518,AMA,DELHI,pp,5,5,5,0,0,0
20260619,AMA,DELHI,pp,5,5,5,0,0,0
20260505,AMA,DELHI,pp,6,6,6,0,0,0
20260501,AMA,DELHI,pp,6,6,6,0,0,0
20260425,AMA,DELHI,pp,6,6,6,0,0,0
20260416,AMA,DELHI,pp,7,7,7,0,0,0
20260512,AMA,DELHI,pp,9,8,8,0,0,0
20260511,AMA,DELHI,pp,8,8,8,0,0,0
20260509,AMA,DELHI,pp,9,9,4,5,0,0
20260522,AMA,DELHI,pp,9,9,9,0,0,0
20260608,AMA,DELHI,pp,9,9,9,0,0,0
20260423,AMA,DELHI,pp,10,9,9,0,0,0
20260525,AMA,DELHI,pp,10,10,10,0,0,0
20260428,AMA,DELHI,pp,11,10,10,0,0,0
20260504,AMA,DELHI,pp,10,10,10,0,0,0
20260610,AMA,DELHI,pp,11,11,11,0,0,0
20260515,AMA,DELHI,pp,11,11,11,0,0,0
20260506,AMA,DELHI,pp,12,12,12,0,0,0
20260606,AMA,DELHI,pp,13,13,13,0,0,0
20260620,AMA,DELHI,pp,13,13,13,0,0,0
20260422,AMA,DELHI,pp,14,14,14,0,0,0
20260605,AMA,DELHI,pp,14,14,14,0,0,0
20260612,AMA,DELHI,pp,14,14,14,0,0,0
20260429,AMA,DELHI,pp,15,15,12,3,0,0
20260530,AMA,DELHI,pp,17,17,17,0,0,0
20260527,AMA,DELHI,pp,17,17,17,0,0,0
20260519,AMA,DELHI,pp,17,17,17,0,0,0
20260601,AMA,DELHI,pp,18,18,18,0,0,0
20260615,AMA,DELHI,pp,21,20,20,0,0,0
20260617,AMA,DELHI,pp,25,25,25,0,0,0
20260619,AML,RAJASTHAN,pp,1,0,0,0,0,0
20260319,ARL,MAHARASHTRA,pp,28,0,0,0,0,0
20260320,ARL,MAHARASHTRA,pp,1,0,0,0,0,0
20260325,ARL,MAHARASHTRA,pp,9,0,0,0,0,0
20260226,ARL,MAHARASHTRA,pp,1,0,0,0,0,0
